FileName,iou_score
Ffvr7pHqzUQ_000030_000040_1.0_9.0,0.009562959
l_SEPV8JB1U_000010_000020_2.5_10.0,0.010363438
i03HKYPv-lg_000169_000179_1.0_5.0,0.015997373
qChtz-3LhT0_000194_000204_0.0_10.0,0.0064337426
IGikBxNZsf0_000046_000056_0.0_4.0,0.011475515
M7Xdwghu5Dc_000010_000020_2.5_5.5,0.0027020078
dK6eZGeDjZg_000148_000158_1.5_4.0,0.0033890132
MTL8-cVoP64_000169_000179_0.0_3.5,0.0070781917
C7OFEkOdODo_000030_000040_0.5_10.0,0.05752013
BGxO2zGGWZE_000030_000040_4.0_7.0,0.0068296692
627AYcRYuq4_000128_000138_0.0_4.5,0.027861152
NRWlHRvaDcQ_000788_000798_0.0_4.0,0.018336397
12lHWBzDR9E_000030_000040_1.5_10.0,0.0027223686
qChtz-3LhT0_000381_000391_0.5_7.0,0.02393223
UmW_hSc4M18_000000_000010_2.0_6.0,0.0019443271
7lTxJy-TVZU_000020_000030_0.0_3.5,0.0030124348
8fDeRi8Lqyg_000040_000050_6.0_10.0,0.006980482
OETKlLnE5vI_000002_000012_5.5_10.0,0.0030157228
is7dPshLAtE_000060_000070_3.0_7.0,0.00552699
uxEdTjXT-rs_000030_000040_1.0_5.0,0.19561076
UgQQQsUJdEM_000395_000405_1.0_4.0,0.0036272912
WCmT-E21BKs_000003_000013_2.5_6.0,0.013274195
Hj6SLH_KCIs_000050_000060_4.5_7.5,0.008389742
h-tymXHl5PE_000011_000021_0.0_10.0,0.018507212
MN4D-0ukfJY_000001_000011_5.5_9.0,0.0021294246
UUgdbqt2ON0_000359_000369_1.5_5.5,0.042008482
QN1uy0xvTQE_000030_000040_3.0_8.5,0.33772513
NDsC25x_gUI_000060_000070_0.0_6.5,0.017716603
88jxgPY-dQk_000050_000060_1.0_10.0,0.0019403183
QnLbyf0QHPE_000095_000105_0.0_8.0,0.0024441541
OIGvCw4UUYk_000616_000626_3.0_10.0,0.00456521
eQRSBs5ox7I_000094_000104_5.5_10.0,0.0007845999
-j9x-d4ZqtY_000030_000040_0.0_9.5,0.10442507
q94etpfMB3A_000048_000058_4.0_8.0,0.004575949
AcDC26-jBvw_000039_000049_2.5_9.5,0.008165734
p_He36sZ-4A_000052_000062_0.0_2.0,0.028801845
n_YeYjbyJu8_000000_000010_1.5_4.5,0.0019227882
7ku02jRDGNY_000050_000060_1.0_10.0,0.109963715
FIpCyWCy9Qc_000030_000040_0.0_9.5,0.042358935
D3UAF0gje7Q_000109_000119_1.0_4.0,0.0019974739
Fe_HtA5zw9U_000012_000022_5.0_9.0,0.000103656166
NWWyjuR7TV0_000216_000226_6.9_9.0,0.0018807197
